"","Gender","Age","Country","State","KitKAt","Skittles","Lollipop","TicTac","GumFromBaseballCards","Income","incomeCluster","ageCluster"
"1","Male",49,"USA","VIRGINIA","JOY","JOY","MEH","DESPAIR","DESPAIR",52136,2,3
"2","Male",40,"USA","OREGON","MEH","DESPAIR","DESPAIR","MEH","DESPAIR",42974,1,3
"3","Female",53,"USA","WASHINGTON","JOY","MEH","MEH","MEH","DESPAIR",51146,2,4
"4","Male",64,"USA","NEW YORK","MEH","MEH","DESPAIR","DESPAIR","DESPAIR",57705,3,4
"5","Male",64,"USA","TEXAS","JOY","DESPAIR","JOY","DESPAIR","MEH",46745,2,4
"6","Male",48,"USA","COLORADO","JOY","JOY","MEH","MEH","DESPAIR",50410,2,3
"7","Female",54,"USA","INDIANA","JOY","JOY","MEH","DESPAIR","DESPAIR",40998,1,4
"8","Female",36,"USA","MINNESOTA","JOY","JOY","MEH","DESPAIR","DESPAIR",50541,2,3
"9","Female",49,"USA","RHODE ISLAND","JOY","MEH","DESPAIR","DESPAIR","DESPAIR",50080,2,3
"10","Male",48,"USA","NORTH CAROLINA","JOY","JOY","MEH","DESPAIR","DESPAIR",40656,1,3
"11","Male",35,"USA","MICHIGAN","JOY","DESPAIR","MEH","JOY","DESPAIR",42427,1,3
"12","Male",38,"USA","FLORIDA","JOY","DESPAIR","MEH","DESPAIR","DESPAIR",44101,1,3
"13","Male",58,"USA","NEW JERSEY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR",59782,3,4
"14","Male",48,"USA","VIRGINIA","JOY","JOY","MEH","DESPAIR","DESPAIR",52136,2,3
"15","Male",35,"USA","COLORADO","JOY","JOY","JOY","MEH","DESPAIR",50410,2,3
"16","Female",33,"USA","MICHIGAN","JOY","JOY","JOY","DESPAIR","DESPAIR",42427,1,3
"17","Male",47,"USA","CALIFORNIA","JOY","JOY","JOY","MEH","MEH",52651,2,3
"18","Male",33,"USA","NEW JERSEY","JOY","JOY","MEH","DESPAIR","DESPAIR",59782,3,3
"19","Male",63,"USA","WISCONSIN","JOY","MEH","MEH","MEH","DESPAIR",45617,2,4
"20","Male",34,"USA","MINNESOTA","JOY","JOY","MEH","DESPAIR","DESPAIR",50541,2,3
"21","Male",65,"USA","NEW JERSEY","JOY","DESPAIR","MEH","MEH","DESPAIR",59782,3,4
"22","Female",45,"USA","MINNESOTA","MEH","JOY","MEH","DESPAIR","DESPAIR",50541,2,3
"23","Male",41,"USA","TEXAS","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR",46745,2,3
"24","Male",27,"USA","NEW YORK","JOY","JOY","MEH","DESPAIR","DESPAIR",57705,3,2
"25","Female",47,"USA","ILLINOIS","JOY","JOY","MEH","DESPAIR","DESPAIR",49471,2,3
"26","Male",47,"USA","TEXAS","JOY","JOY","MEH","MEH","DESPAIR",46745,2,3
"27","Male",49,"USA","WASHINGTON","MEH","MEH","MEH","DESPAIR","DESPAIR",51146,2,3
"28","Male",59,"USA","OREGON","MEH","JOY","JOY","MEH","JOY",42974,1,4
"29","Female",50,"USA","ILLINOIS","JOY","MEH","DESPAIR","JOY","DESPAIR",49471,2,3
"30","Male",34,"USA","MONTANA","JOY","JOY","MEH","DESPAIR","DESPAIR",41280,1,3
"31","Male",34,"USA","NEW YORK","JOY","MEH","MEH","MEH","MEH",57705,3,3
"32","Male",61,"USA","MASSACHUSETTS","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR",61032,3,4
"33","Male",54,"USA","TEXAS","JOY","MEH","MEH","MEH","DESPAIR",46745,2,4
"34","Male",43,"USA","ARIZONA","JOY","JOY","MEH","DESPAIR","DESPAIR",39060,1,3
"35","Female",46,"USA","TEXAS","MEH","JOY","JOY","DESPAIR","DESPAIR",46745,2,3
"36","Female",50,"USA","CALIFORNIA","JOY","JOY","MEH","MEH","DESPAIR",52651,2,3
"37","Female",42,"USA","WASHINGTON","JOY","JOY","MEH","DESPAIR","DESPAIR",51146,2,3
"38","Female",62,"USA","MINNESOTA","JOY","JOY","MEH","DESPAIR","DESPAIR",50541,2,4
"39","Male",37,"USA","VIRGINIA","MEH","JOY","DESPAIR","DESPAIR","DESPAIR",52136,2,3
"40","Male",45,"USA","ILLINOIS","JOY","MEH","MEH","MEH","DESPAIR",49471,2,3
"41","Male",53,"USA","FLORIDA","JOY","DESPAIR","MEH","DESPAIR","DESPAIR",44101,1,4
"42","Female",62,"USA","MINNESOTA","JOY","MEH","MEH","MEH","DESPAIR",50541,2,4
"43","Male",29,"USA","MARYLAND","JOY","JOY","MEH","MEH","DESPAIR",56127,3,2
"44","Male",33,"USA","VIRGINIA","JOY","JOY","MEH","JOY","DESPAIR",52136,2,3
"45","Male",34,"USA","OHIO","JOY","JOY","MEH","DESPAIR","DESPAIR",43478,1,3
"46","Male",48,"USA","TEXAS","JOY","JOY","MEH","DESPAIR","DESPAIR",46745,2,3
"47","Male",36,"USA","MINNESOTA","JOY","JOY","MEH","MEH","DESPAIR",50541,2,3
"48","Female",32,"USA","IOWA","JOY","JOY","MEH","JOY","DESPAIR",44971,2,3
"49","Male",48,"USA","MINNESOTA","JOY","JOY","JOY","DESPAIR","DESPAIR",50541,2,3
"50","Male",33,"USA","TEXAS","JOY","JOY","MEH","DESPAIR","DESPAIR",46745,2,3
"51","Female",38,"USA","TENNESSEE","JOY","DESPAIR","MEH","DESPAIR","DESPAIR",42069,1,3
"52","Male",44,"USA","OHIO","JOY","MEH","MEH","DESPAIR","DESPAIR",43478,1,3
"53","Male",31,"USA","OHIO","JOY","JOY","MEH","DESPAIR","DESPAIR",43478,1,3
"54","Male",28,"USA","MARYLAND","MEH","JOY","MEH","DESPAIR","DESPAIR",56127,3,2
"55","Male",42,"USA","MICHIGAN","JOY","MEH","MEH","DESPAIR","DESPAIR",42427,1,3
"56","Male",50,"USA","MARYLAND","MEH","JOY","JOY","MEH","DESPAIR",56127,3,3
"57","Male",64,"USA","ALASKA","JOY","JOY","MEH","DESPAIR","DESPAIR",55940,3,4
